,playerID,awardID,yearID,lgID,tie,notes
0,larusto01,BBWAA Manager of the Year,1983,AL,,
1,lasorto01,BBWAA Manager of the Year,1983,NL,,
2,andersp01,BBWAA Manager of the Year,1984,AL,,
3,freyji99,BBWAA Manager of the Year,1984,NL,,
4,coxbo01,BBWAA Manager of the Year,1985,AL,,
5,herzowh01,BBWAA Manager of the Year,1985,NL,,
6,mcnamjo99,BBWAA Manager of the Year,1986,AL,,
7,lanieha01,BBWAA Manager of the Year,1986,NL,,
8,andersp01,BBWAA Manager of the Year,1987,AL,,
9,rodgebu01,BBWAA Manager of the Year,1987,NL,,
10,larusto01,BBWAA Manager of the Year,1988,AL,,
11,lasorto01,BBWAA Manager of the Year,1988,NL,,
12,robinfr02,BBWAA Manager of the Year,1989,AL,,
13,zimmedo01,BBWAA Manager of the Year,1989,NL,,
14,torboje01,BBWAA Manager of the Year,1990,AL,,
15,leylaji99,BBWAA Manager of the Year,1990,NL,,
16,kellyto01,BBWAA Manager of the Year,1991,AL,,
17,coxbo01,BBWAA Manager of the Year,1991,NL,,
18,larusto01,BBWAA Manager of the Year,1992,AL,,
19,leylaji99,BBWAA Manager of the Year,1992,NL,,
20,lamonge01,BBWAA Manager of the Year,1993,AL,,
21,bakerdu01,BBWAA Manager of the Year,1993,NL,,
22,showabu99,BBWAA Manager of the Year,1994,AL,,
23,aloufe01,BBWAA Manager of the Year,1994,NL,,
24,pinielo01,BBWAA Manager of the Year,1995,AL,,
25,baylodo01,BBWAA Manager of the Year,1995,NL,,
26,oatesjo01,BBWAA Manager of the Year,1996,AL,Y,
27,torrejo01,BBWAA Manager of the Year,1996,AL,Y,
28,bochybr01,BBWAA Manager of the Year,1996,NL,,
29,johnsda02,BBWAA Manager of the Year,1997,AL,,
30,bakerdu01,BBWAA Manager of the Year,1997,NL,,
31,torrejo01,BBWAA Manager of the Year,1998,AL,,
32,dierkla01,BBWAA Manager of the Year,1998,NL,,
33,williji03,BBWAA Manager of the Year,1999,AL,,
34,mckeoja99,BBWAA Manager of the Year,1999,NL,,
35,manueje01,BBWAA Manager of the Year,2000,AL,,
36,bakerdu01,BBWAA Manager of the Year,2000,NL,,
37,pinielo01,BBWAA Manager of the Year,2001,AL,,
38,bowala01,BBWAA Manager of the Year,2001,NL,,
39,sciosmi01,BBWAA Manager of the Year,2002,AL,,
40,larusto01,BBWAA Manager of the Year,2002,NL,,
41,penato01,BBWAA Manager of the Year,2003,AL,,
42,mckeoja99,BBWAA Manager of the Year,2003,NL,,
43,showabu99,BBWAA Manager of the Year,2004,AL,,
44,coxbo01,BBWAA Manager of the Year,2004,NL,,
45,guilloz01,BBWAA Manager of the Year,2005,AL,,
46,coxbo01,BBWAA Manager of the Year,2005,NL,,
47,leylaji99,BBWAA Manager of the Year,2006,AL,,
48,girarjo01,BBWAA Manager of the Year,2006,NL,,
49,wedgeer01,BBWAA Manager of the Year,2007,AL,,
50,melvibo01,BBWAA Manager of the Year,2007,NL,,
51,maddojo99,BBWAA Manager of the Year,2008,AL,,
52,pinielo01,BBWAA Manager of the Year,2008,NL,,
53,sciosmi01,BBWAA Manager of the Year,2009,AL,,
54,tracyji01,BBWAA Manager of the Year,2009,NL,,
55,gardero01,BBWAA Manager of the Year,2010,AL,,
56,blackbu02,BBWAA Manager of the Year,2010,NL,,
57,maddojo99,BBWAA Manager of the Year,2011,AL,,
58,gibsoki01,BBWAA Manager of the Year,2011,NL,,
59,melvibo01,BBWAA Manager of the Year,2012,AL,,
60,johnsda02,BBWAA Manager of the Year,2012,NL,,
61,francte01,BBWAA Manager of the Year,2013,AL,,
62,hurdlcl01,BBWAA Manager of the Year,2013,NL,,
63,mccarjo99,TSN Manager of the Year,1936,ML,,
64,mckecbi01,TSN Manager of the Year,1937,ML,,
65,mccarjo99,TSN Manager of the Year,1938,ML,,
66,durocle01,TSN Manager of the Year,1939,ML,,
67,mckecbi01,TSN Manager of the Year,1940,ML,,
68,southbi01,TSN Manager of the Year,1941,ML,,
69,southbi01,TSN Manager of the Year,1942,ML,,
70,mccarjo99,TSN Manager of the Year,1943,ML,,
71,sewellu01,TSN Manager of the Year,1944,ML,,
72,bluegos01,TSN Manager of the Year,1945,ML,,
73,dyered01,TSN Manager of the Year,1946,ML,,
74,harribu01,TSN Manager of the Year,1947,ML,,
75,meyerbi01,TSN Manager of the Year,1948,ML,,
76,stengca01,TSN Manager of the Year,1949,ML,,
77,rolfere01,TSN Manager of the Year,1950,ML,,
78,durocle01,TSN Manager of the Year,1951,ML,,
79,stanked01,TSN Manager of the Year,1952,ML,,
80,stengca01,TSN Manager of the Year,1953,ML,,
81,durocle01,TSN Manager of the Year,1954,ML,,
82,alstowa01,TSN Manager of the Year,1955,ML,,
83,tebbebi01,TSN Manager of the Year,1956,ML,,
84,hutchfr01,TSN Manager of the Year,1957,ML,,
85,stengca01,TSN Manager of the Year,1958,ML,,
86,alstowa01,TSN Manager of the Year,1959,ML,,
87,murtada01,TSN Manager of the Year,1960,ML,,
88,houkra01,TSN Manager of the Year,1961,ML,,
89,rignebi01,TSN Manager of the Year,1962,ML,,
90,alstowa01,TSN Manager of the Year,1963,ML,,
91,keanejo99,TSN Manager of the Year,1964,ML,,
92,melesa01,TSN Manager of the Year,1965,ML,,
93,bauerha01,TSN Manager of the Year,1966,ML,,
94,willidi02,TSN Manager of the Year,1967,ML,,
95,smithma01,TSN Manager of the Year,1968,ML,,
96,hodgegi01,TSN Manager of the Year,1969,ML,,
97,murtada01,TSN Manager of the Year,1970,ML,,
98,foxch01,TSN Manager of the Year,1971,ML,,
99,tannech01,TSN Manager of the Year,1972,ML,,
100,mauchge01,TSN Manager of the Year,1973,ML,,
101,virdobi01,TSN Manager of the Year,1974,ML,,
102,johnsda01,TSN Manager of the Year,1975,ML,,
103,ozarkda99,TSN Manager of the Year,1976,ML,,
104,weaveea99,TSN Manager of the Year,1977,ML,,
105,bambege01,TSN Manager of the Year,1978,ML,,
106,weaveea99,TSN Manager of the Year,1979,ML,,
107,virdobi01,TSN Manager of the Year,1980,ML,,
108,martibi02,TSN Manager of the Year,1981,ML,,
109,herzowh01,TSN Manager of the Year,1982,ML,,
110,larusto01,TSN Manager of the Year,1983,ML,,
111,freyji99,TSN Manager of the Year,1984,ML,,
112,coxbo01,TSN Manager of the Year,1985,ML,,
113,lanieha01,TSN Manager of the Year,1986,NL,,
114,mcnamjo99,TSN Manager of the Year,1986,AL,,
115,andersp01,TSN Manager of the Year,1987,AL,,
116,rodgebu01,TSN Manager of the Year,1987,NL,,
117,larusto01,TSN Manager of the Year,1988,AL,,
118,leylaji99,TSN Manager of the Year,1988,NL,,
