,playerID,awardID,yearID,lgID,tie,notes
0,bondto01,Pitching Triple Crown,1877,NL,,
1,hinespa01,Triple Crown,1878,NL,,
2,heckegu01,Pitching Triple Crown,1884,AA,,
3,radboch01,Pitching Triple Crown,1884,NL,,
4,oneilti01,Triple Crown,1887,AA,,
5,keefeti01,Pitching Triple Crown,1888,NL,,
6,clarkjo01,Pitching Triple Crown,1889,NL,,
7,rusieam01,Pitching Triple Crown,1894,NL,,
8,duffyhu01,Triple Crown,1894,NL,,
9,youngcy01,Pitching Triple Crown,1901,AL,,
10,lajoina01,Triple Crown,1901,AL,,
11,wadderu01,Pitching Triple Crown,1905,AL,,
12,mathech01,Pitching Triple Crown,1905,NL,,
13,chaseha01,Baseball Magazine All-Star,1908,AL,,1B
14,lajoina01,Baseball Magazine All-Star,1908,AL,,2B
15,lordha01,Baseball Magazine All-Star,1908,AL,,3B
16,crigelo01,Baseball Magazine All-Star,1908,AL,,C
17,sullibi03,Baseball Magazine All-Star,1908,AL,,C
18,crawfsa01,Baseball Magazine All-Star,1908,AL,,CF
19,stonege01,Baseball Magazine All-Star,1908,AL,,LF
20,walshed01,Baseball Magazine All-Star,1908,AL,,P1
21,youngcy01,Baseball Magazine All-Star,1908,AL,,P2
22,wadderu01,Baseball Magazine All-Star,1908,AL,,P3
23,jossad01,Baseball Magazine All-Star,1908,AL,,P4
24,donovbi01,Baseball Magazine All-Star,1908,AL,,P5
25,cobbty01,Baseball Magazine All-Star,1908,AL,,RF
26,wallabo01,Baseball Magazine All-Star,1908,AL,,SS
27,chaseha01,Baseball Magazine All-Star,1908,ML,,1B
28,lajoina01,Baseball Magazine All-Star,1908,ML,,2B
29,devliar01,Baseball Magazine All-Star,1908,ML,,3B
30,bresnro01,Baseball Magazine All-Star,1908,ML,,C
31,klingjo01,Baseball Magazine All-Star,1908,ML,,C
32,donlimi01,Baseball Magazine All-Star,1908,ML,,CF
33,clarkfr01,Baseball Magazine All-Star,1908,ML,,LF
34,walshed01,Baseball Magazine All-Star,1908,ML,,P1
35,mathech01,Baseball Magazine All-Star,1908,ML,,P2
36,youngcy01,Baseball Magazine All-Star,1908,ML,,P3
37,brownmo01,Baseball Magazine All-Star,1908,ML,,P4
38,ruckena01,Baseball Magazine All-Star,1908,ML,,P5
39,cobbty01,Baseball Magazine All-Star,1908,ML,,RF
40,wagneho01,Baseball Magazine All-Star,1908,ML,,SS
41,tennefr02,Baseball Magazine All-Star,1908,NL,,1B
42,eversjo01,Baseball Magazine All-Star,1908,NL,,2B
43,devliar01,Baseball Magazine All-Star,1908,NL,,3B
44,bresnro01,Baseball Magazine All-Star,1908,NL,,C
45,klingjo01,Baseball Magazine All-Star,1908,NL,,C
46,donlimi01,Baseball Magazine All-Star,1908,NL,,CF
47,clarkfr01,Baseball Magazine All-Star,1908,NL,,LF
48,brownmo01,Baseball Magazine All-Star,1908,NL,,P1
49,mathech01,Baseball Magazine All-Star,1908,NL,,P2
50,ruckena01,Baseball Magazine All-Star,1908,NL,,P3
51,willivi01,Baseball Magazine All-Star,1908,NL,,P4
52,reulbed01,Baseball Magazine All-Star,1908,NL,,P5
53,schulfr01,Baseball Magazine All-Star,1908,NL,,RF
54,wagneho01,Baseball Magazine All-Star,1908,NL,,SS
55,mathech01,Pitching Triple Crown,1908,NL,,
56,chaseha01,Baseball Magazine All-Star,1909,AL,,1B
57,collied01,Baseball Magazine All-Star,1909,AL,,2B
58,lordha01,Baseball Magazine All-Star,1909,AL,,3B
59,carribi02,Baseball Magazine All-Star,1909,AL,,C1
60,sullibi03,Baseball Magazine All-Star,1909,AL,,C2
61,streega01,Baseball Magazine All-Star,1909,AL,,C3
62,speaktr01,Baseball Magazine All-Star,1909,AL,,CF
63,crawfsa01,Baseball Magazine All-Star,1909,AL,,LF
64,walshed01,Baseball Magazine All-Star,1909,AL,,P1
65,planked01,Baseball Magazine All-Star,1909,AL,,P2
66,johnswa01,Baseball Magazine All-Star,1909,AL,,P3
67,mullige01,Baseball Magazine All-Star,1909,AL,,P4
68,woodjo02,Baseball Magazine All-Star,1909,AL,,P5
69,cobbty01,Baseball Magazine All-Star,1909,AL,,RF
70,bushdo01,Baseball Magazine All-Star,1909,AL,,SS
71,chaseha01,Baseball Magazine All-Star,1909,ML,,1B
72,collied01,Baseball Magazine All-Star,1909,ML,,2B
73,lordha01,Baseball Magazine All-Star,1909,ML,,3B
74,klingjo01,Baseball Magazine All-Star,1909,ML,,C1
75,carribi02,Baseball Magazine All-Star,1909,ML,,C2
76,gibsoge01,Baseball Magazine All-Star,1909,ML,,C3
77,speaktr01,Baseball Magazine All-Star,1909,ML,,CF
78,clarkfr01,Baseball Magazine All-Star,1909,ML,,LF
79,mathech01,Baseball Magazine All-Star,1909,ML,,P1
80,walshed01,Baseball Magazine All-Star,1909,ML,,P2
81,brownmo01,Baseball Magazine All-Star,1909,ML,,P3
82,adamsba01,Baseball Magazine All-Star,1909,ML,,P4
83,planked01,Baseball Magazine All-Star,1909,ML,,P5
84,johnswa01,Baseball Magazine All-Star,1909,ML,,P6
85,cobbty01,Baseball Magazine All-Star,1909,ML,,RF
86,wagneho01,Baseball Magazine All-Star,1909,ML,,SS
87,chancfr01,Baseball Magazine All-Star,1909,NL,,1B
88,eversjo01,Baseball Magazine All-Star,1909,NL,,2B
89,devliar01,Baseball Magazine All-Star,1909,NL,,3B
90,klingjo01,Baseball Magazine All-Star,1909,NL,,C1
91,gibsoge01,Baseball Magazine All-Star,1909,NL,,C2
92,bresnro01,Baseball Magazine All-Star,1909,NL,,C3
93,leachto01,Baseball Magazine All-Star,1909,NL,,CF
94,clarkfr01,Baseball Magazine All-Star,1909,NL,,LF
95,mathech01,Baseball Magazine All-Star,1909,NL,,P1
96,brownmo01,Baseball Magazine All-Star,1909,NL,,P2
97,reulbed01,Baseball Magazine All-Star,1909,NL,,P3
98,camniho01,Baseball Magazine All-Star,1909,NL,,P4
99,adamsba01,Baseball Magazine All-Star,1909,NL,,P5
100,hofmaso01,Baseball Magazine All-Star,1909,NL,,RF
101,wagneho01,Baseball Magazine All-Star,1909,NL,,SS
102,cobbty01,Triple Crown,1909,AL,,
103,chaseha01,Baseball Magazine All-Star,1910,AL,,1B
104,lajoina01,Baseball Magazine All-Star,1910,AL,,2B
105,lordha01,Baseball Magazine All-Star,1910,AL,,3B
106,thomair01,Baseball Magazine All-Star,1910,AL,,C1
107,sweened01,Baseball Magazine All-Star,1910,AL,,C2
108,speaktr01,Baseball Magazine All-Star,1910,AL,,CF
109,stonege01,Baseball Magazine All-Star,1910,AL,,LF
110,walshed01,Baseball Magazine All-Star,1910,AL,,P1
111,coombja01,Baseball Magazine All-Star,1910,AL,,P2
112,bendech01,Baseball Magazine All-Star,1910,AL,,P3
113,cobbty01,Baseball Magazine All-Star,1910,AL,,RF
114,wallabo01,Baseball Magazine All-Star,1910,AL,,SS
115,chaseha01,Baseball Magazine All-Star,1910,ML,,1B
116,lajoina01,Baseball Magazine All-Star,1910,ML,,2B
117,devliar01,Baseball Magazine All-Star,1910,ML,,3B
118,gibsoge01,Baseball Magazine All-Star,1910,ML,,C1
119,archeji01,Baseball Magazine All-Star,1910,ML,,C2
120,speaktr01,Baseball Magazine All-Star,1910,ML,,CF
121,mageesh01,Baseball Magazine All-Star,1910,ML,,LF
122,walshed01,Baseball Magazine All-Star,1910,ML,,P1
123,mathech01,Baseball Magazine All-Star,1910,ML,,P2
124,coombja01,Baseball Magazine All-Star,1910,ML,,P3
125,bendech01,Baseball Magazine All-Star,1910,ML,,P4
126,johnswa01,Baseball Magazine All-Star,1910,ML,,P5
127,cobbty01,Baseball Magazine All-Star,1910,ML,,RF
128,wagneho01,Baseball Magazine All-Star,1910,ML,,SS
129,chancfr01,Baseball Magazine All-Star,1910,NL,,1B
130,eversjo01,Baseball Magazine All-Star,1910,NL,,2B
131,devliar01,Baseball Magazine All-Star,1910,NL,,3B
132,gibsoge01,Baseball Magazine All-Star,1910,NL,,C1
133,archeji01,Baseball Magazine All-Star,1910,NL,,C2
134,leachto01,Baseball Magazine All-Star,1910,NL,,CF
135,mageesh01,Baseball Magazine All-Star,1910,NL,,LF
136,mathech01,Baseball Magazine All-Star,1910,NL,,P1
137,ruckena01,Baseball Magazine All-Star,1910,NL,,P2
138,coleki01,Baseball Magazine All-Star,1910,NL,,P3
139,schulfr01,Baseball Magazine All-Star,1910,NL,,RF
140,wagneho01,Baseball Magazine All-Star,1910,NL,,SS
141,chaseha01,Baseball Magazine All-Star,1911,AL,,1B
142,collied01,Baseball Magazine All-Star,1911,AL,,2B
143,bakerfr01,Baseball Magazine All-Star,1911,AL,,3B
144,thomair01,Baseball Magazine All-Star,1911,AL,,C1
145,carribi02,Baseball Magazine All-Star,1911,AL,,C2
146,stanaos01,Baseball Magazine All-Star,1911,AL,,C3
147,cobbty01,Baseball Magazine All-Star,1911,AL,,CF
148,crawfsa01,Baseball Magazine All-Star,1911,AL,,LF
149,johnswa01,Baseball Magazine All-Star,1911,AL,,P1
150,walshed01,Baseball Magazine All-Star,1911,AL,,P2
151,greggve01,Baseball Magazine All-Star,1911,AL,,P3
152,bendech01,Baseball Magazine All-Star,1911,AL,,P4
153,coombja01,Baseball Magazine All-Star,1911,AL,,P5
154,jacksjo01,Baseball Magazine All-Star,1911,AL,,RF
155,bushdo01,Baseball Magazine All-Star,1911,AL,,SS
156,chaseha01,Baseball Magazine All-Star,1911,ML,,1B
157,collied01,Baseball Magazine All-Star,1911,ML,,2B
158,bakerfr01,Baseball Magazine All-Star,1911,ML,,3B
159,bresnro01,Baseball Magazine All-Star,1911,ML,,C1
160,dooinre01,Baseball Magazine All-Star,1911,ML,,C2
161,meyerch01,Baseball Magazine All-Star,1911,ML,,C3
162,thomair01,Baseball Magazine All-Star,1911,ML,,C4
163,cobbty01,Baseball Magazine All-Star,1911,ML,,CF
164,clarkfr01,Baseball Magazine All-Star,1911,ML,,LF
165,johnswa01,Baseball Magazine All-Star,1911,ML,,P2
166,mathech01,Baseball Magazine All-Star,1911,ML,,P2
167,alexape01,Baseball Magazine All-Star,1911,ML,,P3
168,greggve01,Baseball Magazine All-Star,1911,ML,,P4
169,ruckena01,Baseball Magazine All-Star,1911,ML,,P5
170,walshed01,Baseball Magazine All-Star,1911,ML,,P6
171,jacksjo01,Baseball Magazine All-Star,1911,ML,,RF
172,wagneho01,Baseball Magazine All-Star,1911,ML,,SS
173,daubeja01,Baseball Magazine All-Star,1911,NL,,1B
174,doylela01,Baseball Magazine All-Star,1911,NL,,2B
175,loberha01,Baseball Magazine All-Star,1911,NL,,3B
176,bresnro01,Baseball Magazine All-Star,1911,NL,,C1
177,dooinre01,Baseball Magazine All-Star,1911,NL,,C2
178,meyerch01,Baseball Magazine All-Star,1911,NL,,C3
179,archeji01,Baseball Magazine All-Star,1911,NL,,C4
180,donlimi01,Baseball Magazine All-Star,1911,NL,,CF
181,clarkfr01,Baseball Magazine All-Star,1911,NL,,LF
182,mathech01,Baseball Magazine All-Star,1911,NL,,P1
183,marquru01,Baseball Magazine All-Star,1911,NL,,P2
184,alexape01,Baseball Magazine All-Star,1911,NL,,P3
185,ruckena01,Baseball Magazine All-Star,1911,NL,,P4
186,schulfr01,Baseball Magazine All-Star,1911,NL,,RF
187,wagneho01,Baseball Magazine All-Star,1911,NL,,SS
188,cobbty01,Most Valuable Player,1911,AL,,
189,schulfr01,Most Valuable Player,1911,NL,,
190,mcinnst01,Baseball Magazine All-Star,1912,AL,,1B
191,collied01,Baseball Magazine All-Star,1912,AL,,2B
192,gardnla01,Baseball Magazine All-Star,1912,AL,,3B
193,stanaos01,Baseball Magazine All-Star,1912,AL,,C1
194,ainsmed01,Baseball Magazine All-Star,1912,AL,,C2
195,cobbty01,Baseball Magazine All-Star,1912,AL,,OF
196,jacksjo01,Baseball Magazine All-Star,1912,AL,,OF
197,speaktr01,Baseball Magazine All-Star,1912,AL,,OF
198,johnswa01,Baseball Magazine All-Star,1912,AL,,P1
199,woodjo02,Baseball Magazine All-Star,1912,AL,,P2
200,planked01,Baseball Magazine All-Star,1912,AL,,P3
201,wagnehe01,Baseball Magazine All-Star,1912,AL,,SS
202,daubeja01,Baseball Magazine All-Star,1912,ML,,1B
203,eversjo01,Baseball Magazine All-Star,1912,ML,,2B
204,zimmehe01,Baseball Magazine All-Star,1912,ML,,3B
205,archeji01,Baseball Magazine All-Star,1912,ML,,C1
206,meyerch01,Baseball Magazine All-Star,1912,ML,,C2
207,cobbty01,Baseball Magazine All-Star,1912,ML,,OF
208,jacksjo01,Baseball Magazine All-Star,1912,ML,,OF
209,speaktr01,Baseball Magazine All-Star,1912,ML,,OF
210,johnswa01,Baseball Magazine All-Star,1912,ML,,P1
211,woodjo02,Baseball Magazine All-Star,1912,ML,,P1
212,ruckena01,Baseball Magazine All-Star,1912,ML,,P2
213,wagneho01,Baseball Magazine All-Star,1912,ML,,SS
214,daubeja01,Baseball Magazine All-Star,1912,NL,,1B
215,eversjo01,Baseball Magazine All-Star,1912,NL,,2B
216,zimmehe01,Baseball Magazine All-Star,1912,NL,,3B
