,awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
0,BBWAA Manager of the Year,1983,AL,altobjo01,7.0,6.0,24.0
1,BBWAA Manager of the Year,1983,AL,coxbo01,4.0,6.0,14.0
2,BBWAA Manager of the Year,1983,AL,larusto01,17.0,6.0,57.0
3,BBWAA Manager of the Year,1983,NL,lasorto01,10.0,1.0,34.0
4,BBWAA Manager of the Year,1983,NL,lillibo01,9.0,1.0,31.0
5,BBWAA Manager of the Year,1983,NL,owenspa99,1.0,1.0,4.0
6,BBWAA Manager of the Year,1983,NL,tannech01,4.0,1.0,14.0
7,BBWAA Manager of the Year,1984,AL,andersp01,96.0,137.0,44.0
8,BBWAA Manager of the Year,1984,AL,coxbo01,9.0,137.0,1.0
9,BBWAA Manager of the Year,1984,AL,gardnbi02,48.0,137.0,14.0
10,BBWAA Manager of the Year,1984,AL,howsedi01,95.0,137.0,37.0
11,BBWAA Manager of the Year,1984,AL,mcnamjo99,4.0,137.0,1.0
12,BBWAA Manager of the Year,1984,NL,freyji99,101.0,113.0,54.0
13,BBWAA Manager of the Year,1984,NL,johnsda02,72.0,113.0,14.0
14,BBWAA Manager of the Year,1984,NL,lillibo01,2.0,113.0,4.0
15,BBWAA Manager of the Year,1984,NL,willidi02,41.0,113.0,14.0
16,BBWAA Manager of the Year,1985,AL,coxbo01,104.0,137.0,54.0
17,BBWAA Manager of the Year,1985,AL,howsedi01,66.0,137.0,14.0
18,BBWAA Manager of the Year,1985,AL,larusto01,1.0,137.0,1.0
19,BBWAA Manager of the Year,1985,AL,martibi02,19.0,137.0,1.0
20,BBWAA Manager of the Year,1985,AL,mauchge01,57.0,137.0,27.0
21,BBWAA Manager of the Year,1985,AL,mcnamjo99,1.0,137.0,1.0
22,BBWAA Manager of the Year,1985,AL,mooreja01,4.0,137.0,1.0
23,BBWAA Manager of the Year,1985,NL,herzowh01,86.0,113.0,37.0
24,BBWAA Manager of the Year,1985,NL,johnsda02,4.0,113.0,1.0
25,BBWAA Manager of the Year,1985,NL,lasorto01,39.0,113.0,11.0
26,BBWAA Manager of the Year,1985,NL,rodgebu01,2.0,113.0,1.0
27,BBWAA Manager of the Year,1985,NL,rosepe01,85.0,113.0,34.0
28,BBWAA Manager of the Year,1986,AL,corrapa01,18.0,137.0,4.0
29,BBWAA Manager of the Year,1986,AL,mauchge01,44.0,137.0,8.0
30,BBWAA Manager of the Year,1986,AL,mcnamjo99,95.0,137.0,44.0
31,BBWAA Manager of the Year,1986,AL,pinielo01,5.0,137.0,1.0
32,BBWAA Manager of the Year,1986,AL,valenbo02,90.0,137.0,41.0
33,BBWAA Manager of the Year,1986,NL,craigro01,42.0,113.0,8.0
34,BBWAA Manager of the Year,1986,NL,felskjo01,3.0,113.0,1.0
35,BBWAA Manager of the Year,1986,NL,johnsda02,62.0,113.0,11.0
36,BBWAA Manager of the Year,1986,NL,lanieha01,108.0,113.0,64.0
37,BBWAA Manager of the Year,1986,NL,leylaji99,1.0,113.0,1.0
38,BBWAA Manager of the Year,1987,AL,andersp01,90.0,137.0,37.0
39,BBWAA Manager of the Year,1987,AL,edwardo01,1.0,137.0,1.0
40,BBWAA Manager of the Year,1987,AL,kellyto01,74.0,137.0,34.0
41,BBWAA Manager of the Year,1987,AL,larusto01,8.0,137.0,1.0
42,BBWAA Manager of the Year,1987,AL,pinielo01,1.0,137.0,1.0
43,BBWAA Manager of the Year,1987,AL,trebeto99,78.0,137.0,24.0
44,BBWAA Manager of the Year,1987,NL,craigro01,65.0,113.0,21.0
45,BBWAA Manager of the Year,1987,NL,herzowh01,54.0,113.0,18.0
46,BBWAA Manager of the Year,1987,NL,johnsda02,3.0,113.0,1.0
47,BBWAA Manager of the Year,1987,NL,leylaji99,2.0,113.0,1.0
48,BBWAA Manager of the Year,1987,NL,rodgebu01,92.0,113.0,44.0
49,BBWAA Manager of the Year,1988,AL,andersp01,37.0,137.0,11.0
50,BBWAA Manager of the Year,1988,AL,fregoji01,1.0,137.0,1.0
51,BBWAA Manager of the Year,1988,AL,kellyto01,6.0,137.0,1.0
52,BBWAA Manager of the Year,1988,AL,larusto01,103.0,137.0,50.0
53,BBWAA Manager of the Year,1988,AL,morgajo01,89.0,137.0,31.0
54,BBWAA Manager of the Year,1988,AL,pinielo01,1.0,137.0,1.0
55,BBWAA Manager of the Year,1988,AL,trebeto99,15.0,137.0,4.0
56,BBWAA Manager of the Year,1988,NL,johnsda02,38.0,113.0,8.0
57,BBWAA Manager of the Year,1988,NL,lasorto01,101.0,113.0,64.0
58,BBWAA Manager of the Year,1988,NL,leylaji99,50.0,113.0,4.0
59,BBWAA Manager of the Year,1988,NL,mckeoja99,27.0,113.0,8.0
60,BBWAA Manager of the Year,1989,AL,gastoci01,62.0,137.0,11.0
61,BBWAA Manager of the Year,1989,AL,larusto01,51.0,137.0,8.0
62,BBWAA Manager of the Year,1989,AL,raderdo02,13.0,137.0,1.0
63,BBWAA Manager of the Year,1989,AL,robinfr02,125.0,137.0,77.0
64,BBWAA Manager of the Year,1989,AL,wathajo01,1.0,137.0,1.0
65,BBWAA Manager of the Year,1989,NL,craigro01,62.0,113.0,4.0
66,BBWAA Manager of the Year,1989,NL,herzowh01,31.0,113.0,1.0
67,BBWAA Manager of the Year,1989,NL,howear01,4.0,113.0,1.0
68,BBWAA Manager of the Year,1989,NL,mckeoja99,1.0,113.0,1.0
69,BBWAA Manager of the Year,1989,NL,zimmedo01,118.0,113.0,77.0
70,BBWAA Manager of the Year,1990,AL,andersp01,12.0,137.0,1.0
71,BBWAA Manager of the Year,1990,AL,gastoci01,6.0,137.0,1.0
72,BBWAA Manager of the Year,1990,AL,larusto01,72.0,137.0,14.0
73,BBWAA Manager of the Year,1990,AL,lefebji01,1.0,137.0,1.0
74,BBWAA Manager of the Year,1990,AL,morgajo01,28.0,137.0,4.0
75,BBWAA Manager of the Year,1990,AL,raderdo02,1.0,137.0,1.0
76,BBWAA Manager of the Year,1990,AL,torboje01,128.0,137.0,77.0
77,BBWAA Manager of the Year,1990,AL,valenbo02,4.0,137.0,1.0
78,BBWAA Manager of the Year,1990,NL,craigro01,2.0,113.0,1.0
79,BBWAA Manager of the Year,1990,NL,harrebu01,2.0,113.0,1.0
80,BBWAA Manager of the Year,1990,NL,lasorto01,32.0,113.0,4.0
81,BBWAA Manager of the Year,1990,NL,leylaji99,99.0,113.0,57.0
82,BBWAA Manager of the Year,1990,NL,pinielo01,49.0,113.0,11.0
83,BBWAA Manager of the Year,1990,NL,rodgebu01,32.0,113.0,11.0
84,BBWAA Manager of the Year,1991,AL,andersp01,50.0,137.0,4.0
85,BBWAA Manager of the Year,1991,AL,gastoci01,17.0,137.0,1.0
86,BBWAA Manager of the Year,1991,AL,kellyto01,138.0,137.0,90.0
87,BBWAA Manager of the Year,1991,AL,larusto01,2.0,137.0,1.0
88,BBWAA Manager of the Year,1991,AL,lefebji01,16.0,137.0,1.0
89,BBWAA Manager of the Year,1991,AL,mcraeha01,3.0,137.0,1.0
90,BBWAA Manager of the Year,1991,AL,merrist99,1.0,137.0,1.0
91,BBWAA Manager of the Year,1991,AL,morgajo01,16.0,137.0,1.0
92,BBWAA Manager of the Year,1991,AL,torboje01,6.0,137.0,1.0
93,BBWAA Manager of the Year,1991,AL,valenbo02,3.0,137.0,1.0
94,BBWAA Manager of the Year,1991,NL,coxbo01,96.0,113.0,44.0
95,BBWAA Manager of the Year,1991,NL,lasorto01,5.0,113.0,1.0
96,BBWAA Manager of the Year,1991,NL,leylaji99,74.0,113.0,31.0
97,BBWAA Manager of the Year,1991,NL,torrejo01,41.0,113.0,8.0
98,BBWAA Manager of the Year,1992,AL,garneph01,76.0,137.0,8.0
99,BBWAA Manager of the Year,1992,AL,gastoci01,13.0,137.0,4.0
100,BBWAA Manager of the Year,1992,AL,hargrmi01,4.0,137.0,1.0
101,BBWAA Manager of the Year,1992,AL,larusto01,132.0,137.0,84.0
102,BBWAA Manager of the Year,1992,AL,oatesjo01,27.0,137.0,1.0
103,BBWAA Manager of the Year,1992,NL,aloufe01,65.0,113.0,11.0
104,BBWAA Manager of the Year,1992,NL,coxbo01,29.0,113.0,4.0
105,BBWAA Manager of the Year,1992,NL,howear01,9.0,113.0,1.0
106,BBWAA Manager of the Year,1992,NL,leylaji99,109.0,113.0,67.0
107,BBWAA Manager of the Year,1992,NL,pinielo01,4.0,113.0,1.0
108,BBWAA Manager of the Year,1993,AL,gastoci01,49.0,137.0,21.0
109,BBWAA Manager of the Year,1993,AL,hargrmi01,10.0,137.0,4.0
110,BBWAA Manager of the Year,1993,AL,hobsobu01,1.0,137.0,1.0
111,BBWAA Manager of the Year,1993,AL,kenneke99,28.0,137.0,11.0
112,BBWAA Manager of the Year,1993,AL,lamonge01,72.0,137.0,27.0
113,BBWAA Manager of the Year,1993,AL,oatesjo01,5.0,137.0,1.0
