awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
Cy Young,1956,ML,fordwh01,2.0,1.0,4.0
Cy Young,1956,ML,maglisa01,5.0,1.0,13.0
Cy Young,1956,ML,newcodo01,11.0,1.0,32.0
Cy Young,1956,ML,spahnwa01,2.0,1.0,4.0
Cy Young,1957,ML,donovdi01,2.0,1.0,4.0
Cy Young,1957,ML,spahnwa01,16.0,1.0,47.0
Cy Young,1958,ML,burdele01,4.0,1.0,10.0
Cy Young,1958,ML,frienbo01,4.0,1.0,10.0
Cy Young,1958,ML,spahnwa01,5.0,1.0,13.0
Cy Young,1958,ML,turlebo01,6.0,1.0,16.0
Cy Young,1959,ML,jonessa02,3.0,1.0,7.0
Cy Young,1959,ML,shawbo01,2.0,1.0,4.0
Cy Young,1959,ML,wynnea01,14.0,1.0,41.0
Cy Young,1960,ML,brogler01,2.0,1.0,4.0
Cy Young,1960,ML,lawve01,9.0,1.0,26.0
Cy Young,1960,ML,mcdanli01,2.0,1.0,4.0
Cy Young,1960,ML,spahnwa01,5.0,1.0,13.0
Cy Young,1961,ML,fordwh01,10.0,3.0,29.0
Cy Young,1961,ML,laryfr01,3.0,3.0,7.0
Cy Young,1961,ML,spahnwa01,7.0,3.0,20.0
Cy Young,1962,ML,drysddo01,15.0,5.0,44.0
Cy Young,1962,ML,piercbi02,2.0,5.0,4.0
Cy Young,1962,ML,purkebo01,2.0,5.0,4.0
Cy Young,1962,ML,sanfoja02,5.0,5.0,13.0
Cy Young,1963,ML,koufasa01,21.0,5.0,63.0
Cy Young,1964,ML,chancde01,18.0,5.0,54.0
Cy Young,1964,ML,jacksla01,3.0,5.0,7.0
Cy Young,1964,ML,koufasa01,2.0,5.0,4.0
Cy Young,1965,ML,koufasa01,21.0,5.0,63.0
Cy Young,1966,ML,koufasa01,21.0,5.0,63.0
Cy Young,1967,AL,horlejo01,3.0,5.0,7.0
Cy Young,1967,AL,lonboji01,19.0,5.0,57.0
Cy Young,1967,NL,bunniji01,2.0,5.0,4.0
Cy Young,1967,NL,jenkife01,2.0,5.0,4.0
Cy Young,1967,NL,mccormi03,19.0,5.0,57.0
Cy Young,1968,AL,mclaide01,21.0,5.0,63.0
Cy Young,1968,NL,gibsobo01,21.0,5.0,63.0
Cy Young,1969,AL,cuellmi01,11.0,9.0,32.0
Cy Young,1969,AL,mclaide01,11.0,9.0,32.0
Cy Young,1969,AL,mcnalda01,2.0,9.0,4.0
Cy Young,1969,AL,perryji01,4.0,9.0,10.0
Cy Young,1969,NL,niekrph01,2.0,9.0,4.0
Cy Young,1969,NL,seaveto01,24.0,9.0,72.0
Cy Young,1970,AL,cuellmi01,45.0,109.0,20.0
Cy Young,1970,AL,mcdowsa01,46.0,109.0,13.0
Cy Young,1970,AL,mcnalda01,48.0,109.0,16.0
Cy Young,1970,AL,palmeji01,12.0,109.0,4.0
Cy Young,1970,AL,perraro01,6.0,109.0,4.0
Cy Young,1970,AL,perryji01,56.0,109.0,20.0
Cy Young,1970,AL,wrighcl01,10.0,109.0,4.0
Cy Young,1970,NL,gibsobo01,119.0,109.0,72.0
Cy Young,1970,NL,giustda01,9.0,109.0,1.0
Cy Young,1970,NL,grangwa01,4.0,109.0,1.0
Cy Young,1970,NL,jenkife01,17.0,109.0,1.0
Cy Young,1970,NL,merriji01,9.0,109.0,1.0
Cy Young,1970,NL,mortoca01,3.0,109.0,1.0
Cy Young,1970,NL,nolanga01,6.0,109.0,1.0
Cy Young,1970,NL,perryga01,52.0,109.0,4.0
Cy Young,1970,NL,seaveto01,5.0,109.0,1.0
Cy Young,1970,NL,walkelu01,2.0,109.0,1.0
Cy Young,1971,AL,bluevi01,99.0,109.0,44.0
Cy Young,1971,AL,dragodi01,2.0,109.0,1.0
Cy Young,1971,AL,lolicmi01,86.0,109.0,29.0
Cy Young,1971,AL,mcnalda01,9.0,109.0,1.0
Cy Young,1971,AL,messean01,2.0,109.0,1.0
Cy Young,1971,AL,woodwi01,24.0,109.0,4.0
Cy Young,1971,NL,downial01,41.0,109.0,4.0
Cy Young,1971,NL,ellisdo01,10.0,109.0,1.0
Cy Young,1971,NL,gibsobo01,4.0,109.0,1.0
Cy Young,1971,NL,jenkife01,98.0,109.0,54.0
Cy Young,1971,NL,johnsje01,3.0,109.0,1.0
Cy Young,1971,NL,maricju01,2.0,109.0,1.0
Cy Young,1971,NL,roberda05,3.0,109.0,1.0
Cy Young,1971,NL,seaveto01,62.0,109.0,20.0
Cy Young,1971,NL,stonebi01,2.0,109.0,1.0
Cy Young,1972,AL,hunteca01,27.0,109.0,7.0
Cy Young,1972,AL,lolicmi01,28.0,109.0,10.0
Cy Young,1972,AL,lylesp01,4.0,109.0,1.0
Cy Young,1972,AL,palmeji01,21.0,109.0,7.0
Cy Young,1972,AL,perryga01,65.0,109.0,29.0
Cy Young,1972,AL,ryanno01,3.0,109.0,1.0
Cy Young,1972,AL,tiantlu01,17.0,109.0,4.0
Cy Young,1972,AL,woodwi01,59.0,109.0,23.0
Cy Young,1972,NL,blassst01,36.0,109.0,1.0
Cy Young,1972,NL,carltst01,121.0,109.0,75.0
Cy Young,1972,NL,carrocl02,7.0,109.0,1.0
Cy Young,1972,NL,gibsobo01,4.0,109.0,1.0
Cy Young,1972,NL,jenkife01,24.0,109.0,1.0
Cy Young,1972,NL,marshmi01,9.0,109.0,1.0
Cy Young,1972,NL,nolanga01,7.0,109.0,1.0
Cy Young,1972,NL,pappami01,4.0,109.0,1.0
Cy Young,1972,NL,seaveto01,7.0,109.0,1.0
Cy Young,1972,NL,suttodo01,7.0,109.0,1.0
Cy Young,1973,AL,bluevi01,2.0,109.0,1.0
Cy Young,1973,AL,blylebe01,2.0,109.0,1.0
Cy Young,1973,AL,colboji01,3.0,109.0,1.0
Cy Young,1973,AL,hillejo01,7.0,109.0,1.0
Cy Young,1973,AL,hunteca01,53.0,109.0,4.0
Cy Young,1973,AL,palmeji01,89.0,109.0,44.0
Cy Young,1973,AL,perryga01,2.0,109.0,1.0
Cy Young,1973,AL,ryanno01,63.0,109.0,29.0
Cy Young,1973,AL,woodwi01,4.0,109.0,1.0
Cy Young,1973,NL,billija01,31.0,109.0,7.0
Cy Young,1973,NL,bryanro01,51.0,109.0,10.0
Cy Young,1973,NL,giustda01,2.0,109.0,1.0
Cy Young,1973,NL,marshmi01,55.0,109.0,29.0
Cy Young,1973,NL,normafr01,4.0,109.0,1.0
Cy Young,1973,NL,seaveto01,72.0,109.0,32.0
Cy Young,1973,NL,suttodo01,8.0,109.0,1.0
Cy Young,1974,AL,cuellmi01,7.0,109.0,1.0
Cy Young,1974,AL,hillejo01,2.0,109.0,1.0
Cy Young,1974,AL,hunteca01,91.0,109.0,38.0
Cy Young,1974,AL,jenkife01,76.0,109.0,32.0
Cy Young,1974,AL,perryga01,9.0,109.0,4.0
Cy Young,1974,AL,ryanno01,29.0,109.0,4.0
Cy Young,1974,AL,tiantlu01,9.0,109.0,1.0
Cy Young,1974,NL,billija01,9.0,109.0,1.0
Cy Young,1974,NL,caprabu01,2.0,109.0,1.0
Cy Young,1974,NL,carrocl02,3.0,109.0,1.0
Cy Young,1974,NL,giustda01,2.0,109.0,1.0
Cy Young,1974,NL,gulledo01,6.0,109.0,1.0
