,playerID,yearID,stint,Glf,Gcf,Grf
0,allisar01,1871,1.0,1.0,30.0,1.0
1,ansonca01,1871,1.0,2.0,1.0,1.0
2,armstbo01,1871,1.0,1.0,12.0,2.0
3,barkeal01,1871,1.0,2.0,1.0,1.0
4,barrofr01,1871,1.0,14.0,1.0,5.0
5,battijo01,1871,1.0,1.0,1.0,2.0
6,bealsto01,1871,1.0,5.0,1.0,5.0
7,bechtge01,1871,1.0,2.0,4.0,12.0
8,berkena01,1871,1.0,1.0,1.0,2.0
9,berryto01,1871,1.0,1.0,1.0,2.0
10,berthha01,1871,1.0,12.0,2.0,1.0
11,birdge01,1871,1.0,2.0,26.0,1.0
12,birdsda01,1871,1.0,1.0,1.0,28.0
13,burrohe01,1871,1.0,5.0,1.0,5.0
14,conefr01,1871,1.0,19.0,1.0,2.0
15,connone01,1871,1.0,1.0,1.0,4.0
16,cravebi01,1871,1.0,1.0,1.0,2.0
17,cuthbne01,1871,1.0,28.0,1.0,1.0
18,deaneha01,1871,1.0,7.0,1.0,1.0
19,donnepe01,1871,1.0,3.0,2.0,7.0
20,eggleda01,1871,1.0,1.0,34.0,1.0
21,ewellge01,1871,1.0,1.0,1.0,2.0
22,flynncl01,1871,1.0,1.0,1.0,9.0
23,foleyto01,1871,1.0,3.0,10.0,6.0
24,foranji01,1871,1.0,4.0,2.0,1.0
25,glennjo01,1871,1.0,2.0,1.0,26.0
26,gouldch01,1871,1.0,1.0,1.0,2.0
27,hallge01,1871,1.0,2.0,32.0,1.0
28,hamra01,1871,1.0,20.0,1.0,1.0
29,hastisc01,1871,1.0,3.0,2.0,1.0
30,hatfijo01,1871,1.0,25.0,1.0,1.0
31,heubege01,1871,1.0,1.0,1.0,17.0
32,highadi01,1871,1.0,1.0,1.0,9.0
33,hodesch01,1871,1.0,1.0,4.0,2.0
34,jackssa01,1871,1.0,1.0,2.0,1.0
35,johnsca01,1871,1.0,1.0,1.0,7.0
36,kellybi01,1871,1.0,2.0,5.0,15.0
37,kimbage01,1871,1.0,3.0,2.0,8.0
38,kingma01,1871,1.0,2.0,11.0,1.0
39,kingst01,1871,1.0,30.0,1.0,1.0
40,lennobi01,1871,1.0,1.0,1.0,2.0
41,leonaan01,1871,1.0,12.0,1.0,1.0
42,mackde01,1871,1.0,2.0,1.0,1.0
43,mcderjo01,1871,1.0,1.0,3.0,1.0
44,mcveyca01,1871,1.0,1.0,1.0,6.0
45,millsch01,1871,1.0,1.0,1.0,5.0
46,minched01,1871,1.0,10.0,1.0,1.0
47,nortofr01,1871,1.0,1.0,1.0,2.0
48,paborch01,1871,1.0,29.0,1.0,1.0
49,patteda01,1871,1.0,10.0,1.0,23.0
50,pikeli01,1871,1.0,1.0,1.0,19.0
51,pinkhed01,1871,1.0,1.0,1.0,9.0
52,prattal01,1871,1.0,6.0,1.0,3.0
53,sagerpo01,1871,1.0,5.0,1.0,1.0
54,senseco01,1871,1.0,1.0,26.0,1.0
55,simmojo01,1871,1.0,1.0,10.0,18.0
56,spaldal01,1871,1.0,1.0,10.0,1.0
57,stirega01,1871,1.0,1.0,1.0,26.0
58,suttoez01,1871,1.0,1.0,2.0,2.0
59,treacfr01,1871,1.0,26.0,1.0,1.0
60,whitede01,1871,1.0,1.0,1.0,2.0
61,whiteel01,1871,1.0,1.0,1.0,16.0
62,wrighha01,1871,1.0,1.0,31.0,1.0
63,yorkto01,1871,1.0,1.0,30.0,1.0
64,zettlge01,1871,1.0,1.0,1.0,4.0
65,allenha01,1872,1.0,5.0,4.0,3.0
66,allisan01,1872,1.0,1.0,1.0,2.0
67,allisar01,1872,1.0,1.0,18.0,3.0
68,allisbi01,1872,1.0,1.0,2.0,2.0
69,arnolbi01,1872,1.0,1.0,1.0,3.0
70,barre01,1872,1.0,9.0,1.0,1.0
71,bassjo01,1872,1.0,1.0,1.0,3.0
72,bealsto01,1872,1.0,1.0,3.0,1.0
73,beaveed01,1872,1.0,2.0,1.0,1.0
74,bechtge01,1872,1.0,14.0,1.0,38.0
75,bellast01,1872,1.0,1.0,7.0,1.0
76,bentlcy01,1872,1.0,1.0,1.0,8.0
77,bielaos01,1872,1.0,1.0,1.0,11.0
78,birdsda01,1872,1.0,5.0,1.0,5.0
79,boothed01,1872,1.0,1.0,4.0,2.0
80,boothed01,1872,26.0,7.0,1.0,9.0
81,boydbi01,1872,1.0,1.0,1.0,2.0
82,brainas01,1872,26.0,1.0,1.0,2.0
83,brownol01,1872,1.0,1.0,1.0,5.0
84,burrohe01,1872,1.0,1.0,3.0,1.0
85,buttefr01,1872,1.0,1.0,1.0,9.0
86,careyto01,1872,1.0,1.0,1.0,4.0
87,clappjo01,1872,1.0,1.0,2.0,1.0
88,clintji01,1872,1.0,1.0,9.0,4.0
89,coughde01,1872,1.0,1.0,6.0,1.0
90,cravebi01,1872,1.0,1.0,1.0,5.0
91,cummica01,1872,1.0,2.0,1.0,2.0
92,cuthbne01,1872,1.0,48.0,1.0,1.0
93,doschhe01,1872,1.0,1.0,1.0,7.0
94,eggleda01,1872,1.0,2.0,56.0,1.0
95,fieldge01,1872,1.0,2.0,1.0,5.0
96,fishech01,1872,1.0,1.0,4.0,18.0
97,fleetfr01,1872,1.0,1.0,2.0,2.0
98,fletcge01,1872,1.0,1.0,1.0,3.0
99,gedneco01,1872,1.0,1.0,10.0,1.0
100,gedneco01,1872,26.0,19.0,1.0,1.0
101,glennjo01,1872,1.0,10.0,1.0,1.0
102,glennjo01,1872,26.0,1.0,2.0,1.0
103,gouldch01,1872,1.0,1.0,1.0,3.0
104,hallge01,1872,1.0,4.0,52.0,1.0
105,hastisc01,1872,1.0,1.0,4.0,6.0
106,hastisc01,1872,26.0,1.0,2.0,1.0
107,heubege01,1872,1.0,1.0,6.0,1.0
108,hicksna01,1872,1.0,1.0,1.0,4.0
109,higby01,1872,1.0,1.0,1.0,2.0
110,highadi01,1872,1.0,1.0,3.0,23.0
111,hodesch01,1872,1.0,1.0,5.0,1.0
112,huntdi01,1872,1.0,1.0,1.0,9.0
113,hurledi01,1872,1.0,1.0,1.0,3.0
114,jackssa01,1872,1.0,4.0,1.0,1.0
115,kavan01,1872,1.0,1.0,1.0,3.0
116,kennejo01,1872,1.0,3.0,1.0,2.0
117,kingma01,1872,1.0,1.0,4.0,1.0
118,kingst01,1872,1.0,26.0,1.0,1.0
119,leonaan01,1872,1.0,39.0,1.0,1.0
120,malonma01,1872,1.0,1.0,1.0,3.0
121,martiph01,1872,1.0,1.0,1.0,26.0
122,martiph01,1872,26.0,1.0,1.0,10.0
123,mathebo01,1872,1.0,1.0,1.0,9.0
124,mccarfr01,1872,1.0,1.0,19.0,2.0
125,mcdonja01,1872,1.0,2.0,1.0,15.0
126,mcgeami01,1872,1.0,1.0,1.0,2.0
127,mcmuljo01,1872,1.0,42.0,2.0,12.0
128,mcveyca01,1872,1.0,3.0,1.0,10.0
129,meyerle01,1872,1.0,1.0,1.0,27.0
130,millsch01,1872,1.0,1.0,1.0,5.0
131,minched01,1872,1.0,12.0,1.0,1.0
132,mulle01,1872,1.0,1.0,1.0,2.0
133,nelsoca01,1872,1.0,1.0,4.0,1.0
134,nelsoca01,1872,26.0,1.0,9.0,1.0
