playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
wrighha01,1871,BS1,,1.0,31.0,21.0,11.0,19.0,Y
woodji01,1871,CH1,,1.0,28.0,20.0,10.0,10.0,Y
paborch01,1871,CL1,,1.0,29.0,11.0,20.0,64.0,Y
lennobi01,1871,FW1,,1.0,14.0,6.0,10.0,64.0,Y
deaneha01,1871,FW1,,13.0,5.0,3.0,4.0,64.0,Y
fergubo01,1871,NY2,,1.0,33.0,17.0,18.0,37.0,Y
mcbridi01,1871,PH1,,1.0,28.0,22.0,8.0,1.0,Y
hastisc01,1871,RC1,,1.0,25.0,5.0,22.0,73.0,Y
pikeli01,1871,TRO,,1.0,4.0,2.0,4.0,46.0,Y
cravebi01,1871,TRO,,13.0,25.0,13.0,13.0,46.0,Y
youngni99,1871,WS3,,1.0,32.0,16.0,16.0,28.0,N
cravebi01,1872,BL1,,1.0,41.0,28.0,14.0,10.0,Y
millsev01,1872,BL1,,13.0,17.0,9.0,7.0,10.0,Y
clintji01,1872,BR1,,1.0,11.0,1.0,12.0,73.0,Y
woodji01,1872,BR1,,13.0,18.0,4.0,16.0,73.0,Y
fergubo01,1872,BR2,,1.0,37.0,10.0,29.0,55.0,Y
wrighha01,1872,BS1,,1.0,48.0,40.0,9.0,1.0,Y
hastisc01,1872,CL1,,1.0,20.0,7.0,15.0,55.0,Y
whitede01,1872,CL1,,13.0,2.0,1.0,3.0,55.0,Y
clappjo01,1872,MID,,1.0,24.0,6.0,20.0,73.0,Y
pearcdi01,1872,NY2,,1.0,16.0,11.0,7.0,19.0,Y
hatfijo01,1872,NY2,,13.0,40.0,25.0,15.0,19.0,Y
mcbridi01,1872,PH1,,1.0,47.0,31.0,15.0,10.0,Y
woodji01,1872,TRO,,1.0,25.0,16.0,11.0,37.0,Y
youngni99,1872,WS3,,1.0,9.0,3.0,8.0,64.0,N
millejo01,1872,WS4,,1.0,11.0,1.0,12.0,91.0,Y
mcveyca01,1873,BL1,,1.0,33.0,21.0,14.0,19.0,Y
careyto01,1873,BL1,,13.0,24.0,15.0,10.0,19.0,Y
smithbi01,1873,BL4,,1.0,5.0,1.0,6.0,73.0,Y
fergubo01,1873,BR2,,1.0,55.0,18.0,38.0,46.0,Y
wrighha01,1873,BS1,,1.0,60.0,44.0,17.0,1.0,Y
allisdo01,1873,ELI,,1.0,23.0,3.0,22.0,64.0,N
hatfijo01,1873,NY2,,1.0,28.0,12.0,18.0,28.0,Y
startjo01,1873,NY2,,13.0,25.0,19.0,8.0,28.0,Y
mcbridi01,1873,PH1,,1.0,52.0,29.0,24.0,28.0,Y
malonfe01,1873,PH2,,1.0,10.0,9.0,3.0,10.0,Y
woodji01,1873,PH2,,13.0,43.0,29.0,16.0,10.0,Y
youngni99,1873,WS5,,1.0,39.0,9.0,32.0,55.0,N
whitewa01,1874,BL1,,1.0,47.0,10.0,39.0,64.0,Y
fergubo01,1874,BR2,,1.0,56.0,23.0,34.0,46.0,Y
wrighha01,1874,BS1,,1.0,71.0,53.0,19.0,1.0,Y
malonfe01,1874,CH2,,1.0,36.0,19.0,19.0,37.0,Y
woodji01,1874,CH2,,13.0,23.0,11.0,14.0,37.0,N
pikeli01,1874,HR1,,1.0,53.0,17.0,38.0,55.0,Y
careyto01,1874,NY2,,1.0,25.0,14.0,13.0,10.0,Y
highadi01,1874,NY2,,13.0,40.0,30.0,12.0,10.0,Y
mcbridi01,1874,PH1,,1.0,56.0,34.0,24.0,19.0,Y
cravebi01,1874,PH2,,1.0,58.0,30.0,30.0,28.0,Y
paborch01,1875,BR2,,1.0,42.0,3.0,41.0,100.0,Y
boydbi01,1875,BR2,,13.0,2.0,1.0,3.0,100.0,Y
wrighha01,1875,BS1,,1.0,82.0,71.0,9.0,1.0,Y
woodji01,1875,CH2,,1.0,69.0,31.0,38.0,46.0,N
fergubo01,1875,HR1,,1.0,86.0,55.0,29.0,19.0,Y
simmojo01,1875,KEO,,1.0,13.0,2.0,13.0,100.0,Y
gouldch01,1875,NH1,,1.0,23.0,3.0,22.0,64.0,Y
lathaju01,1875,NH1,,13.0,18.0,5.0,15.0,64.0,Y
paborch01,1875,NH1,,26.0,6.0,2.0,6.0,64.0,Y
hicksna01,1875,NY2,,1.0,71.0,31.0,39.0,55.0,Y
mcbridi01,1875,PH1,,1.0,69.0,50.0,19.0,10.0,Y
ansonca01,1875,PH1,,13.0,8.0,5.0,3.0,10.0,Y
mcgeami01,1875,PH2,,1.0,63.0,35.0,28.0,37.0,Y
addybo01,1875,PH2,,13.0,7.0,4.0,5.0,37.0,Y
cravebi01,1875,PH3,,1.0,14.0,3.0,13.0,91.0,Y
sweasch01,1875,SL1,,1.0,19.0,5.0,16.0,64.0,Y
pearcdi01,1875,SL2,,1.0,72.0,40.0,30.0,28.0,Y
holliho01,1875,WS6,,1.0,20.0,5.0,17.0,82.0,Y
parksbi01,1875,WS6,,13.0,8.0,2.0,8.0,82.0,Y
wrighha01,1876,BSN,NL,1.0,70.0,40.0,32.0,28.0,Y
spaldal01,1876,CHN,NL,1.0,66.0,53.0,15.0,1.0,Y
gouldch01,1876,CN1,NL,1.0,65.0,10.0,57.0,64.0,Y
fergubo01,1876,HAR,NL,1.0,69.0,48.0,22.0,19.0,Y
chapmja01,1876,LS1,NL,1.0,69.0,31.0,37.0,37.0,Y
cravebi01,1876,NY3,NL,1.0,57.0,22.0,36.0,46.0,N
wrighal99,1876,PHN,NL,1.0,60.0,15.0,46.0,55.0,N
graffma99,1876,SL3,NL,1.0,56.0,40.0,18.0,10.0,N
mcmange99,1876,SL3,NL,13.0,8.0,7.0,3.0,10.0,N
wrighha01,1877,BSN,NL,1.0,61.0,43.0,19.0,1.0,Y
spaldal01,1877,CHN,NL,1.0,60.0,27.0,34.0,37.0,Y
pikeli01,1877,CN1,NL,1.0,14.0,4.0,12.0,46.0,Y
addybo01,1877,CN1,NL,13.0,24.0,6.0,20.0,46.0,Y
mannija01,1877,CN1,NL,26.0,20.0,8.0,13.0,46.0,Y
fergubo01,1877,HAR,NL,1.0,60.0,32.0,28.0,19.0,Y
chapmja01,1877,LS1,NL,1.0,61.0,36.0,26.0,10.0,N
mcmange99,1877,SL3,NL,1.0,60.0,29.0,33.0,28.0,N
wrighha01,1878,BSN,NL,1.0,60.0,42.0,20.0,1.0,N
fergubo01,1878,CHN,NL,1.0,61.0,31.0,31.0,28.0,Y
mcveyca01,1878,CN1,NL,1.0,61.0,38.0,24.0,10.0,Y
clappjo01,1878,IN1,NL,1.0,63.0,25.0,37.0,37.0,Y
chapmja01,1878,ML2,NL,1.0,61.0,16.0,46.0,46.0,N
yorkto01,1878,PRO,NL,1.0,62.0,34.0,28.0,19.0,Y
clappjo01,1879,BFN,NL,1.0,79.0,47.0,33.0,19.0,Y
wrighha01,1879,BSN,NL,1.0,84.0,55.0,31.0,10.0,N
ansonca01,1879,CHN,NL,1.0,64.0,42.0,22.0,28.0,Y
flintsi01,1879,CHN,NL,13.0,19.0,6.0,13.0,28.0,Y
mccorji01,1879,CL2,NL,1.0,82.0,28.0,56.0,46.0,Y
whitede01,1879,CN1,NL,1.0,18.0,10.0,10.0,37.0,Y
mcveyca01,1879,CN1,NL,13.0,63.0,35.0,29.0,37.0,Y
wrighge01,1879,PRO,NL,1.0,85.0,59.0,26.0,1.0,Y
dorgami01,1879,SR1,NL,1.0,43.0,18.0,27.0,55.0,Y
holbebi01,1879,SR1,NL,13.0,1.0,1.0,2.0,55.0,Y
maculji01,1879,SR1,NL,26.0,27.0,6.0,22.0,55.0,Y
phillho99,1879,TRN,NL,1.0,47.0,13.0,35.0,64.0,N
fergubo01,1879,TRN,NL,13.0,30.0,8.0,23.0,64.0,Y
cranesa01,1880,BFN,NL,1.0,84.0,25.0,59.0,55.0,Y
wrighha01,1880,BSN,NL,1.0,86.0,41.0,45.0,46.0,N
ansonca01,1880,CHN,NL,1.0,86.0,67.0,18.0,1.0,Y
mccorji01,1880,CL2,NL,1.0,85.0,48.0,38.0,19.0,Y
clappjo01,1880,CN1,NL,1.0,82.0,22.0,60.0,64.0,Y
mcgeami01,1880,PRO,NL,1.0,16.0,9.0,8.0,10.0,Y
wardjo01,1880,PRO,NL,13.0,32.0,19.0,14.0,10.0,Y
dorgami01,1880,PRO,NL,26.0,39.0,27.0,13.0,10.0,Y
fergubo01,1880,TRN,NL,1.0,83.0,42.0,43.0,28.0,Y
bancrfr99,1880,WOR,NL,1.0,85.0,41.0,44.0,37.0,N
orourji01,1881,BFN,NL,1.0,83.0,46.0,39.0,19.0,Y
wrighha01,1881,BSN,NL,1.0,83.0,39.0,46.0,46.0,N
ansonca01,1881,CHN,NL,1.0,84.0,57.0,29.0,1.0,Y
mcgeami01,1881,CL2,NL,1.0,11.0,5.0,8.0,55.0,Y
clappjo01,1881,CL2,NL,13.0,74.0,33.0,42.0,55.0,Y
bancrfr99,1881,DTN,NL,1.0,84.0,42.0,44.0,28.0,N
farreja02,1881,PRO,NL,1.0,51.0,25.0,28.0,10.0,Y
yorkto01,1881,PRO,NL,13.0,34.0,24.0,11.0,10.0,Y
fergubo01,1881,TRN,NL,1.0,85.0,40.0,46.0,37.0,Y
dorgami01,1881,WOR,NL,1.0,56.0,25.0,33.0,64.0,Y
stoveha01,1881,WOR,NL,13.0,27.0,9.0,19.0,64.0,Y
myershe01,1882,BL2,AA,1.0,74.0,20.0,55.0,46.0,Y
snydepo01,1882,CN2,AA,1.0,80.0,56.0,26.0,1.0,Y
mackde01,1882,LS2,AA,1.0,80.0,43.0,39.0,19.0,Y
lathaju01,1882,PH4,AA,1.0,75.0,42.0,35.0,10.0,Y
prattal01,1882,PT1,AA,1.0,79.0,40.0,40.0,28.0,N
cuthbne01,1882,SL4,AA,1.0,80.0,38.0,44.0,37.0,Y
orourji01,1882,BFN,NL,1.0,84.0,46.0,40.0,19.0,Y
morrijo01,1882,BSN,NL,1.0,85.0,46.0,40.0,28.0,Y
ansonca01,1882,CHN,NL,1.0,84.0,56.0,30.0,1.0,Y
mccorji01,1882,CL2,NL,1.0,4.0,1.0,5.0,37.0,Y
dunlafr01,1882,CL2,NL,13.0,80.0,43.0,37.0,37.0,Y
bancrfr99,1882,DTN,NL,1.0,86.0,43.0,42.0,46.0,N
wrighha01,1882,PRO,NL,1.0,84.0,53.0,33.0,10.0,N
fergubo01,1882,TRN,NL,1.0,85.0,36.0,49.0,55.0,Y
brownfr99,1882,WOR,NL,1.0,41.0,10.0,33.0,64.0,N
bondto01,1882,WOR,NL,13.0,6.0,3.0,5.0,64.0,Y
chapmja01,1882,WOR,NL,26.0,37.0,8.0,31.0,64.0,N
barnibi01,1883,BL2,AA,1.0,96.0,29.0,68.0,64.0,Y
phillho99,1883,CL5,AA,1.0,97.0,33.0,65.0,46.0,N
snydepo01,1883,CN2,AA,1.0,98.0,61.0,38.0,19.0,Y
gerhajo01,1883,LS2,AA,1.0,98.0,53.0,46.0,37.0,Y
mutriji99,1883,NY4,AA,1.0,97.0,55.0,43.0,28.0,N
knighlo01,1883,PH4,AA,1.0,98.0,66.0,33.0,1.0,Y
prattal01,1883,PT1,AA,1.0,32.0,13.0,21.0,55.0,N
butleor99,1883,PT1,AA,13.0,53.0,18.0,37.0,55.0,N
battijo01,1883,PT1,AA,26.0,13.0,3.0,12.0,55.0,Y
sullite01,1883,SL4,AA,1.0,79.0,54.0,27.0,10.0,N
comisch01,1883,SL4,AA,13.0,19.0,13.0,8.0,10.0,Y
orourji01,1883,BFN,NL,1.0,98.0,53.0,46.0,37.0,Y
burdoja01,1883,BSN,NL,1.0,54.0,31.0,25.0,1.0,Y
morrijo01,1883,BSN,NL,13.0,44.0,34.0,12.0,1.0,Y
ansonca01,1883,CHN,NL,1.0,98.0,59.0,40.0,10.0,Y
bancrfr99,1883,CL2,NL,1.0,100.0,56.0,43.0,28.0,N
chapmja01,1883,DTN,NL,1.0,101.0,41.0,59.0,55.0,N
clappjo01,1883,NY1,NL,1.0,98.0,47.0,51.0,46.0,Y
fergubo01,1883,PHI,NL,1.0,17.0,5.0,14.0,64.0,Y
purcebl01,1883,PHI,NL,13.0,82.0,14.0,68.0,64.0,Y
wrighha01,1883,PRO,NL,1.0,98.0,58.0,41.0,19.0,N
barnibi01,1884,BL2,AA,1.0,109.0,63.0,44.0,46.0,N
tayloge99,1884,BR3,AA,1.0,109.0,41.0,64.0,73.0,N
schmegu99,1884,CL5,AA,1.0,110.0,69.0,40.0,10.0,N
whitewi01,1884,CN2,AA,1.0,72.0,45.0,28.0,37.0,Y
snydepo01,1884,CN2,AA,13.0,40.0,25.0,15.0,37.0,Y
giffoji99,1884,IN2,AA,1.0,87.0,26.0,60.0,91.0,N
watkibi01,1884,IN2,AA,13.0,23.0,5.0,19.0,91.0,Y
walshmi99,1884,LS2,AA,1.0,110.0,68.0,41.0,19.0,N
mutriji99,1884,NY4,AA,1.0,112.0,75.0,33.0,1.0,N
knighlo01,1884,PH4,AA,1.0,109.0,61.0,47.0,55.0,Y
mcknide99,1884,PT1,AA,1.0,12.0,5.0,9.0,82.0,N
fergubo01,1884,PT1,AA,13.0,42.0,12.0,32.0,82.0,Y
battijo01,1884,PT1,AA,26.0,13.0,7.0,8.0,82.0,Y
creamge01,1884,PT1,AA,38.0,8.0,1.0,9.0,82.0,Y
phillho99,1884,PT1,AA,50.0,35.0,10.0,25.0,82.0,N
mosesfe99,1884,RIC,AA,1.0,46.0,13.0,31.0,82.0,N
williji99,1884,SL4,AA,1.0,85.0,52.0,34.0,28.0,N
comisch01,1884,SL4,AA,13.0,25.0,17.0,8.0,28.0,Y
mortoch01,1884,TL1,AA,1.0,110.0,47.0,59.0,64.0,Y
holliho01,1884,WS7,AA,1.0,62.0,13.0,51.0,100.0,N
bicke99,1884,WS7,AA,13.0,1.0,1.0,2.0,100.0,N
orourji01,1884,BFN,NL,1.0,115.0,64.0,48.0,19.0,Y
morrijo01,1884,BSN,NL,1.0,116.0,73.0,39.0,10.0,Y
ansonca01,1884,CHN,NL,1.0,113.0,62.0,51.0,37.0,Y
hackech99,1884,CL2,NL,1.0,113.0,36.0,77.0,55.0,N
chapmja01,1884,DTN,NL,1.0,114.0,29.0,84.0,64.0,N
priceji99,1884,NY1,NL,1.0,100.0,57.0,43.0,28.0,N
wardjo01,1884,NY1,NL,13.0,16.0,7.0,9.0,28.0,Y
wrighha01,1884,PHI,NL,1.0,113.0,40.0,73.0,46.0,N
bancrfr99,1884,PRO,NL,1.0,114.0,84.0,29.0,1.0,N
curtied99,1884,ALT,UA,1.0,25.0,7.0,20.0,82.0,N
hendebi99,1884,BLU,UA,1.0,106.0,58.0,48.0,28.0,N
murnati01,1884,BSU,UA,1.0,111.0,58.0,52.0,37.0,Y
hengled99,1884,CHU,UA,1.0,74.0,35.0,40.0,37.0,N
battijo01,1884,CHU,UA,13.0,6.0,2.0,6.0,37.0,Y
