,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
0,becanbu01,1884,WS,NY4,AA,1.0,26.0,1.0,13.0,13.0,1.0,1.0,19.0,15.0,28.0,1.0,7.0,4.0,,,,,,,,1.0,34.0,,,
1,keefeti01,1884,WS,NY4,AA,1.0,50.0,15.0,26.0,26.0,1.0,1.0,46.0,16.0,24.0,21.0,10.0,35.0,,,,,,,,1.0,26.0,,,
2,radboch01,1884,WS,PRO,NL,75.0,1.0,29.0,38.0,38.0,34.0,1.0,67.0,18.0,1.0,1.0,1.0,49.0,,,,,,,,1.0,9.0,,,
3,carutbo01,1885,WS,SL4,AA,26.0,26.0,29.0,38.0,38.0,1.0,1.0,79.0,40.0,28.0,21.0,13.0,46.0,,,,,,,,1.0,50.0,,,
4,clarkjo01,1885,WS,CHN,NL,1.0,26.0,15.0,26.0,26.0,1.0,1.0,49.0,24.0,9.0,1.0,4.0,43.0,,,,,,,,1.0,40.0,,,
5,foutzda01,1885,WS,SL4,AA,50.0,50.0,43.0,50.0,50.0,1.0,1.0,88.0,47.0,9.0,21.0,29.0,41.0,,,,,,,,1.0,56.0,,,
6,mccorji01,1885,WS,CHN,NL,75.0,50.0,58.0,63.0,63.0,1.0,1.0,108.0,43.0,31.0,1.0,20.0,55.0,,,,,,,,1.0,62.0,,,
7,carutbo01,1886,WS,SL4,AA,50.0,26.0,29.0,38.0,38.0,34.0,1.0,79.0,29.0,28.0,60.0,20.0,35.0,,,,,,,,1.0,40.0,,,
8,clarkjo01,1886,WS,CHN,NL,50.0,50.0,43.0,50.0,38.0,34.0,1.0,94.0,40.0,28.0,1.0,38.0,80.0,,,,,,,,1.0,42.0,,,
9,foutzda01,1886,WS,SL4,AA,26.0,26.0,15.0,26.0,26.0,1.0,1.0,46.0,26.0,24.0,1.0,20.0,21.0,,,,,,,,1.0,31.0,,,
10,hudsona01,1886,WS,SL4,AA,26.0,1.0,1.0,13.0,13.0,1.0,1.0,22.0,6.0,9.0,1.0,10.0,9.0,,,,,,,,1.0,9.0,,,
11,mccorji01,1886,WS,CHN,NL,1.0,26.0,1.0,13.0,13.0,1.0,1.0,25.0,21.0,24.0,21.0,7.0,12.0,,,,,,,,1.0,34.0,,,
12,ryanji01,1886,WS,CHN,NL,1.0,1.0,1.0,13.0,1.0,1.0,1.0,16.0,13.0,20.0,1.0,13.0,12.0,,,,,,,,18.0,23.0,,,
13,willine01,1886,WS,CHN,NL,1.0,26.0,15.0,1.0,1.0,1.0,1.0,7.0,7.0,5.0,1.0,4.0,7.0,,,,,,,,18.0,9.0,,,
14,baldwla01,1887,WS,DTN,NL,100.0,26.0,58.0,63.0,63.0,34.0,1.0,126.0,44.0,28.0,21.0,32.0,12.0,,,,,,,,1.0,45.0,,,
15,carutbo01,1887,WS,SL4,AA,100.0,100.0,100.0,100.0,100.0,1.0,1.0,213.0,100.0,66.0,60.0,38.0,55.0,,,,,,,,1.0,81.0,,,
16,conwape01,1887,WS,DTN,NL,50.0,50.0,43.0,50.0,50.0,1.0,1.0,100.0,49.0,43.0,1.0,20.0,29.0,,,,,,,,1.0,42.0,,,
17,foutzda01,1887,WS,SL4,AA,1.0,75.0,29.0,38.0,38.0,1.0,1.0,79.0,57.0,39.0,21.0,29.0,18.0,,,,,,,,1.0,75.0,,,
18,getzich01,1887,WS,DTN,NL,100.0,50.0,72.0,75.0,75.0,34.0,1.0,174.0,95.0,62.0,21.0,47.0,49.0,,,,,,,,1.0,64.0,,,
19,kingsi01,1887,WS,SL4,AA,26.0,75.0,43.0,50.0,50.0,1.0,1.0,94.0,41.0,28.0,1.0,7.0,60.0,,,,,,,,1.0,48.0,,,
20,chambel01,1888,WS,SL4,AA,50.0,75.0,58.0,63.0,63.0,34.0,1.0,132.0,81.0,100.0,60.0,50.0,38.0,,,,,,,,1.0,100.0,,,
21,craneed01,1888,WS,NY1,NL,26.0,26.0,15.0,26.0,26.0,1.0,1.0,52.0,24.0,16.0,1.0,20.0,35.0,,,,,,,,1.0,28.0,,,
22,devliji02,1888,WS,SL4,AA,26.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,9.0,9.0,1.0,7.0,15.0,,,,,,,,18.0,9.0,,,
23,georgbi01,1888,WS,NY1,NL,1.0,26.0,1.0,13.0,13.0,1.0,1.0,31.0,24.0,31.0,21.0,10.0,12.0,,,,,,,,1.0,40.0,,,
24,hatfigi01,1888,WS,NY1,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,20.0,28.0,21.0,10.0,7.0,,,,,,,,18.0,34.0,,,
25,keefeti01,1888,WS,NY1,NL,100.0,1.0,43.0,50.0,50.0,1.0,1.0,106.0,29.0,9.0,1.0,29.0,86.0,,,,,,,,1.0,34.0,,,
26,kingsi01,1888,WS,SL4,AA,26.0,75.0,58.0,63.0,50.0,1.0,1.0,106.0,58.0,35.0,1.0,29.0,35.0,,,,,,,,1.0,64.0,,,
27,titcoca01,1888,WS,NY1,NL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,13.0,9.0,12.0,21.0,7.0,7.0,,,,,,,,1.0,18.0,,,
28,welchmi01,1888,WS,NY1,NL,26.0,26.0,15.0,26.0,26.0,1.0,1.0,52.0,16.0,20.0,1.0,29.0,7.0,,,,,,,,1.0,23.0,,,
29,carutbo01,1889,WS,BR3,AA,1.0,50.0,43.0,26.0,26.0,1.0,26.0,73.0,44.0,39.0,60.0,20.0,18.0,,,,,,,,34.0,53.0,,,
30,craneed01,1889,WS,NY1,NL,100.0,26.0,58.0,63.0,50.0,1.0,1.0,114.0,46.0,62.0,60.0,100.0,55.0,,,,,,,,1.0,72.0,,,
31,foutzda01,1889,WS,BR3,AA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,9.0,16.0,1.0,7.0,7.0,,,,,,,,18.0,12.0,,,
32,hughemi01,1889,WS,BR3,AA,26.0,1.0,1.0,13.0,1.0,1.0,1.0,22.0,23.0,24.0,21.0,10.0,9.0,,,,,,,,1.0,20.0,,,
33,keefeti01,1889,WS,NY1,NL,1.0,26.0,15.0,13.0,13.0,1.0,26.0,34.0,27.0,39.0,21.0,7.0,12.0,,,,,,,,18.0,42.0,,,
34,lovetto01,1889,WS,BR3,AA,1.0,26.0,1.0,13.0,1.0,1.0,1.0,10.0,13.0,31.0,41.0,7.0,4.0,,,,,,,,1.0,26.0,,,
35,odayha01,1889,WS,NY1,NL,50.0,1.0,29.0,26.0,26.0,1.0,1.0,70.0,16.0,12.0,1.0,44.0,35.0,,,,,,,,18.0,9.0,,,
36,terryad01,1889,WS,BR3,AA,50.0,75.0,58.0,63.0,50.0,1.0,1.0,111.0,74.0,96.0,41.0,57.0,41.0,,,,,,,,1.0,94.0,,,
37,welchmi01,1889,WS,NY1,NL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,16.0,18.0,20.0,21.0,10.0,4.0,,,,,,,,1.0,23.0,,,
38,dailyed01,1890,WS,LS2,AA,1.0,50.0,15.0,26.0,26.0,1.0,1.0,52.0,20.0,20.0,21.0,26.0,15.0,,,,,,,,1.0,34.0,,,
39,ehretre01,1890,WS,LS2,AA,50.0,1.0,29.0,26.0,26.0,1.0,26.0,61.0,20.0,12.0,1.0,20.0,38.0,,,,,,,,1.0,26.0,,,
40,lovetto01,1890,WS,BRO,NL,50.0,50.0,43.0,50.0,50.0,1.0,1.0,106.0,46.0,43.0,1.0,20.0,41.0,,,,,,,,1.0,45.0,,,
41,meakige01,1890,WS,LS2,AA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,10.0,1.0,1.0,4.0,4.0,,,,,,,,18.0,18.0,,,
